benefit_from_altruism,cost_of_altruism,disease,harshness,altruistic_probability,selfish_probability,coexist_prob,altruist_avg,selfish_avg,black_avg
0.01,0,0.26,1,0.39,0.39,0,0,0,2601
0,0.35,0.26,0.92,0.39,0.39,0,0,0,2601
0.01,0,0.26,0.95,0.39,0.39,0,0,0,2601
0.01,0,0.26,0.96,0.39,0.39,0,0,0,2601
0,0.3,0.26,0.9,0.39,0.39,0,0,162.4,2438.6
0,0.34,0.26,0.91,0.39,0.39,0,0,0,2601
0.01,0.01,0.26,0.97,0.39,0.39,0,0,0,2601
0.01,0.01,0.26,1,0.39,0.39,0,0,0,2601
0.01,0.01,0.26,0.98,0.39,0.39,0,0,0,2601
0.01,0.01,0.26,0.99,0.39,0.39,0,0,0,2601
0.01,0.01,0.26,0.96,0.39,0.39,0,0,0,2601
0.01,0.01,0.26,0.94,0.39,0.39,0,0,0,2601
0,0.31,0.26,0.9,0.39,0.39,0,0,164.2,2436.8
0.01,0.01,0.26,0.95,0.39,0.39,0,0,0,2601
0.01,0,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.32,0.26,0.9,0.39,0.39,0,0,57.6,2543.4
0.01,0.01,0.26,0.93,0.39,0.39,0,0,0,2601
0.01,0.02,0.26,0.99,0.39,0.39,0,0,0,2601
0.01,0.02,0.26,0.98,0.39,0.39,0,0,0,2601
0,0.35,0.26,0.91,0.39,0.39,0,0,0,2601
0.01,0.02,0.26,1,0.39,0.39,0,0,0,2601
0.01,0.02,0.26,0.96,0.39,0.39,0,0,0,2601
0.01,0.02,0.26,0.97,0.39,0.39,0,0,0,2601
0.01,0,0.26,0.92,0.39,0.39,0,0,0,2601
0.01,0.02,0.26,0.95,0.39,0.39,0,0,0,2601
0.01,0.02,0.26,0.94,0.39,0.39,0,0,0,2601
0.01,0.01,0.26,0.92,0.39,0.39,0,0,0,2601
0.01,0.03,0.26,1,0.39,0.39,0,0,0,2601
0.01,0.03,0.26,0.99,0.39,0.39,0,0,0,2601
0.01,0.03,0.26,0.94,0.39,0.39,0,0,0,2601
0.01,0.03,0.26,0.95,0.39,0.39,0,0,0,2601
0.01,0.03,0.26,0.98,0.39,0.39,0,0,0,2601
0.01,0.03,0.26,0.96,0.39,0.39,0,0,0,2601
0.01,0.02,0.26,0.93,0.39,0.39,0,0,0,2601
0.01,0.03,0.26,0.97,0.39,0.39,0,0,0,2601
0,0.33,0.26,0.9,0.39,0.39,0,0,63,2538
0.01,0.04,0.26,0.95,0.39,0.39,0,0,0,2601
0.01,0.04,0.26,0.99,0.39,0.39,0,0,0,2601
0.01,0.04,0.26,0.98,0.39,0.39,0,0,0,2601
0.01,0.01,0.26,0.91,0.39,0.39,0,0,0,2601
0.01,0.04,0.26,0.96,0.39,0.39,0,0,0,2601
0.01,0.03,0.26,0.93,0.39,0.39,0,0,0,2601
0,0.34,0.26,0.9,0.39,0.39,0,0,81.6,2519.4
0.01,0.04,0.26,0.97,0.39,0.39,0,0,0,2601
0.01,0.04,0.26,1,0.39,0.39,0,0,0,2601
0.01,0.04,0.26,0.94,0.39,0.39,0,0,0,2601
